filename,%VBur
Hf-π-29=Cl_30=Cl_31=OMe.xyz,60.3773
Hf-π-29=Cl_30=Cl_31=Ph.xyz,61.5321
Hf-π-29=Cl_30=Et_31=CF3.xyz,63.0335
Hf-π-29=Cl_30=Et_31=Cl.xyz,62.2886
Hf-π-29=Cl_30=Et_31=Et.xyz,62.9659
Hf-π-29=Cl_30=Et_31=F.xyz,60.1315
Hf-π-29=Cl_30=Et_31=Me.xyz,62.4819
Hf-π-29=Cl_30=Et_31=NCH3_2.xyz,61.9106
Hf-π-29=Cl_30=Et_31=NO2.xyz,60.0872
Hf-π-29=Cl_30=Et_31=OMe.xyz,60.6446
Hf-π-29=Cl_30=Et_31=Ph.xyz,61.4779
Hf-π-29=Cl_30=F_31=CF3.xyz,60.0389
Hf-π-29=Cl_30=F_31=Cl.xyz,59.4076
Hf-π-29=Cl_30=F_31=Et.xyz,60.3703
Hf-π-29=Cl_30=F_31=F.xyz,59.1287
Hf-π-29=Cl_30=F_31=Me.xyz,61.5967
Hf-π-29=Cl_30=F_31=NCH3_2.xyz,60.3872
Hf-π-29=Cl_30=F_31=NO2.xyz,59.0396
Hf-π-29=Cl_30=F_31=OMe.xyz,58.9697
Hf-π-29=Cl_30=F_31=Ph.xyz,60.2724
Hf-π-29=Cl_30=Me_31=CF3.xyz,62.8832
Hf-π-29=Cl_30=Me_31=Cl.xyz,62.2770
Hf-π-29=Cl_30=Me_31=Et.xyz,62.8657
Hf-π-29=Cl_30=Me_31=F.xyz,60.1030
Hf-π-29=Cl_30=Me_31=Me.xyz,62.3480
Hf-π-29=Cl_30=Me_31=NCH3_2.xyz,61.6800
Hf-π-29=Cl_30=Me_31=NO2.xyz,60.1659
Hf-π-29=Cl_30=Me_31=OMe.xyz,60.6615
Hf-π-29=Cl_30=Me_31=Ph.xyz,61.3056
Hf-π-29=Cl_30=NCH3_2_31=CF3.xyz,61.2001
Hf-π-29=Cl_30=NCH3_2_31=Cl.xyz,60.3802
Hf-π-29=Cl_30=NCH3_2_31=Et.xyz,61.4948
Hf-π-29=Cl_30=NCH3_2_31=F.xyz,61.3970
Hf-π-29=Cl_30=NCH3_2_31=Me.xyz,61.1594
Hf-π-29=Cl_30=NCH3_2_31=NCH3_2.xyz,61.9858
Hf-π-29=Cl_30=NCH3_2_31=NO2.xyz,60.4530
Hf-π-29=Cl_30=NCH3_2_31=OMe.xyz,61.5274
Hf-π-29=Cl_30=NCH3_2_31=Ph.xyz,62.0516
Hf-π-29=Cl_30=NO2_31=CF3.xyz,62.4412
Hf-π-29=Cl_30=NO2_31=Cl.xyz,61.8536
Hf-π-29=Cl_30=NO2_31=Et.xyz,62.2641
Hf-π-29=Cl_30=NO2_31=F.xyz,59.9341
Hf-π-29=Cl_30=NO2_31=Me.xyz,61.8378
Hf-π-29=Cl_30=NO2_31=NCH3_2.xyz,62.2379
Hf-π-29=Cl_30=NO2_31=NO2.xyz,61.9170
Hf-π-29=Cl_30=NO2_31=OMe.xyz,59.8799
Hf-π-29=Cl_30=NO2_31=Ph.xyz,61.7819
Hf-π-29=Cl_30=OMe_31=CF3.xyz,63.6007
Hf-π-29=Cl_30=OMe_31=Cl.xyz,63.0445
Hf-π-29=Cl_30=OMe_31=Et.xyz,60.0756
Hf-π-29=Cl_30=OMe_31=F.xyz,61.3574
Hf-π-29=Cl_30=OMe_31=Me.xyz,61.8425
Hf-π-29=Cl_30=OMe_31=NCH3_2.xyz,61.9444
Hf-π-29=Cl_30=OMe_31=NO2.xyz,62.0766
Hf-π-29=Cl_30=OMe_31=OMe.xyz,62.4592
Hf-π-29=Cl_30=OMe_31=Ph.xyz,62.6893
Hf-π-29=Cl_30=Ph_31=CF3.xyz,60.9969
Hf-π-29=Cl_30=Ph_31=Cl.xyz,59.7588
Hf-π-29=Cl_30=Ph_31=Et.xyz,62.4674
Hf-π-29=Cl_30=Ph_31=F.xyz,59.7943
Hf-π-29=Cl_30=Ph_31=Me.xyz,62.2933
Hf-π-29=Cl_30=Ph_31=NCH3_2.xyz,62.4924
Hf-π-29=Cl_30=Ph_31=NO2.xyz,59.5963
Hf-π-29=Cl_30=Ph_31=OMe.xyz,60.1711
Hf-π-29=Cl_30=Ph_31=Ph.xyz,62.9956
Hf-π-29=Et_30=CF3_31=CF3.xyz,65.6797
Hf-π-29=Et_30=CF3_31=Cl.xyz,65.3810
Hf-π-29=Et_30=CF3_31=Et.xyz,65.1970
Hf-π-29=Et_30=CF3_31=F.xyz,64.8062
Hf-π-29=Et_30=CF3_31=Me.xyz,65.0205
Hf-π-29=Et_30=CF3_31=NCH3_2.xyz,64.7893
Hf-π-29=Et_30=CF3_31=NO2.xyz,65.2750
Hf-π-29=Et_30=CF3_31=OMe.xyz,64.9221
Hf-π-29=Et_30=CF3_31=Ph.xyz,65.3000
Hf-π-29=Et_30=Cl_31=CF3.xyz,65.7572
Hf-π-29=Et_30=Cl_31=Cl.xyz,64.8312
Hf-π-29=Et_30=Cl_31=Et.xyz,65.6984
Hf-π-29=Et_30=Cl_31=F.xyz,63.6176
Hf-π-29=Et_30=Cl_31=Me.xyz,64.5418
Hf-π-29=Et_30=Cl_31=NCH3_2.xyz,63.4097
Hf-π-29=Et_30=Cl_31=NO2.xyz,64.5319
Hf-π-29=Et_30=Cl_31=OMe.xyz,61.3347
Hf-π-29=Et_30=Cl_31=Ph.xyz,65.6401
Hf-π-29=Et_30=Et_31=CF3.xyz,65.9156
Hf-π-29=Et_30=Et_31=Cl.xyz,65.0607
Hf-π-29=Et_30=Et_31=Et.xyz,65.6821
Hf-π-29=Et_30=Et_31=F.xyz,63.9548
Hf-π-29=Et_30=Et_31=Me.xyz,65.0700
Hf-π-29=Et_30=Et_31=NCH3_2.xyz,64.2838
Hf-π-29=Et_30=Et_31=NO2.xyz,64.9442
Hf-π-29=Et_30=Et_31=OMe.xyz,64.5505
Hf-π-29=Et_30=Et_31=Ph.xyz,65.2470
Hf-π-29=Et_30=F_31=CF3.xyz,66.3192
Hf-π-29=Et_30=F_31=Cl.xyz,64.9372
Hf-π-29=Et_30=F_31=Et.xyz,65.6623
Hf-π-29=Et_30=F_31=F.xyz,64.2890
Hf-π-29=Et_30=F_31=Me.xyz,64.4917
Hf-π-29=Et_30=F_31=NCH3_2.xyz,65.5318
Hf-π-29=Et_30=F_31=NO2.xyz,64.9366
Hf-π-29=Et_30=F_31=OMe.xyz,64.9751
Hf-π-29=Et_30=F_31=Ph.xyz,65.1783
Hf-π-29=Et_30=Me_31=CF3.xyz,65.9179
Hf-π-29=Et_30=Me_31=Cl.xyz,65.1370
Hf-π-29=Et_30=Me_31=Et.xyz,65.6937
Hf-π-29=Et_30=Me_31=F.xyz,64.6233
Hf-π-29=Et_30=Me_31=Me.xyz,64.9826
Hf-π-29=Et_30=Me_31=NCH3_2.xyz,65.5743
Hf-π-29=Et_30=Me_31=NO2.xyz,65.1975
Hf-π-29=Et_30=Me_31=OMe.xyz,65.0123
Hf-π-29=Et_30=Me_31=Ph.xyz,65.7619
Hf-π-29=Et_30=NCH3_2_31=CF3.xyz,66.2994
Hf-π-29=Et_30=NCH3_2_31=Cl.xyz,64.8516
Hf-π-29=Et_30=NCH3_2_31=Et.xyz,64.9902
Hf-π-29=Et_30=NCH3_2_31=F.xyz,63.8715
Hf-π-29=Et_30=NCH3_2_31=Me.xyz,64.4935
Hf-π-29=Et_30=NCH3_2_31=NCH3_2.xyz,64.7025
Hf-π-29=Et_30=NCH3_2_31=NO2.xyz,65.0956
Hf-π-29=Et_30=NCH3_2_31=OMe.xyz,64.8301
Hf-π-29=Et_30=NCH3_2_31=Ph.xyz,65.3280
Hf-π-29=Et_30=NO2_31=CF3.xyz,65.1480
Hf-π-29=Et_30=NO2_31=Cl.xyz,63.9047
Hf-π-29=Et_30=NO2_31=Et.xyz,64.0986
Hf-π-29=Et_30=NO2_31=F.xyz,63.5151
Hf-π-29=Et_30=NO2_31=Me.xyz,64.1132
Hf-π-29=Et_30=NO2_31=NCH3_2.xyz,64.4032
Hf-π-29=Et_30=NO2_31=NO2.xyz,62.7859
Hf-π-29=Et_30=NO2_31=OMe.xyz,65.4940
Hf-π-29=Et_30=NO2_31=Ph.xyz,63.7469
Hf-π-29=Et_30=OMe_31=CF3.xyz,66.2382
Hf-π-29=Et_30=OMe_31=Cl.xyz,64.9378
Hf-π-29=Et_30=OMe_31=Et.xyz,65.7147
Hf-π-29=Et_30=OMe_31=F.xyz,64.2855
Hf-π-29=Et_30=OMe_31=Me.xyz,64.8173
Hf-π-29=Et_30=OMe_31=NCH3_2.xyz,65.2791
Hf-π-29=Et_30=OMe_31=NO2.xyz,64.7474
Hf-π-29=Et_30=OMe_31=OMe.xyz,64.7101
Hf-π-29=Et_30=OMe_31=Ph.xyz,65.1958
Hf-π-29=Et_30=Ph_31=CF3.xyz,65.9738
Hf-π-29=Et_30=Ph_31=Cl.xyz,65.0042
Hf-π-29=Et_30=Ph_31=Et.xyz,64.9792
Hf-π-29=Et_30=Ph_31=F.xyz,64.7369
Hf-π-29=Et_30=Ph_31=Me.xyz,64.5855
Hf-π-29=Et_30=Ph_31=NCH3_2.xyz,64.9366
Hf-π-29=Et_30=Ph_31=NO2.xyz,64.9867
Hf-π-29=Et_30=Ph_31=OMe.xyz,64.9704
Hf-π-29=Et_30=Ph_31=Ph.xyz,65.0846
Hf-π-29=F_30=CF3_31=CF3.xyz,61.9502
Hf-π-29=F_30=CF3_31=Cl.xyz,61.9002
Hf-π-29=F_30=CF3_31=Et.xyz,61.7895
Hf-π-29=F_30=CF3_31=F.xyz,61.2497
Hf-π-29=F_30=CF3_31=Me.xyz,61.5507
Hf-π-29=F_30=CF3_31=NCH3_2.xyz,61.6882
Hf-π-29=F_30=CF3_31=NO2.xyz,61.8204
Hf-π-29=F_30=CF3_31=OMe.xyz,61.5932
Hf-π-29=F_30=CF3_31=Ph.xyz,61.9724
Hf-π-29=F_30=Cl_31=CF3.xyz,61.3894
Hf-π-29=F_30=Cl_31=Cl.xyz,61.3160
Hf-π-29=F_30=Cl_31=Et.xyz,61.4395
Hf-π-29=F_30=Cl_31=F.xyz,59.1298
Hf-π-29=F_30=Cl_31=Me.xyz,60.9148
Hf-π-29=F_30=Cl_31=NCH3_2.xyz,60.6882
Hf-π-29=F_30=Cl_31=NO2.xyz,59.2376
Hf-π-29=F_30=Cl_31=OMe.xyz,59.5718
Hf-π-29=F_30=Cl_31=Ph.xyz,60.4367
Hf-π-29=F_30=Et_31=CF3.xyz,62.0475
Hf-π-29=F_30=Et_31=Cl.xyz,61.3487
Hf-π-29=F_30=Et_31=Et.xyz,61.3457
Hf-π-29=F_30=Et_31=F.xyz,60.2095
Hf-π-29=F_30=Et_31=Me.xyz,61.3248
Hf-π-29=F_30=Et_31=NCH3_2.xyz,60.8641
Hf-π-29=F_30=Et_31=NO2.xyz,61.1640
Hf-π-29=F_30=Et_31=OMe.xyz,59.7116
Hf-π-29=F_30=Et_31=Ph.xyz,60.4506
Hf-π-29=F_30=F_31=CF3.xyz,62.4639
Hf-π-29=F_30=F_31=Cl.xyz,61.2432
Hf-π-29=F_30=F_31=Et.xyz,61.5892
Hf-π-29=F_30=F_31=F.xyz,59.2480
Hf-π-29=F_30=F_31=Me.xyz,60.3365
Hf-π-29=F_30=F_31=NCH3_2.xyz,61.8897
Hf-π-29=F_30=F_31=NO2.xyz,60.4250
Hf-π-29=F_30=F_31=OMe.xyz,60.9084
Hf-π-29=F_30=F_31=Ph.xyz,60.7313
Hf-π-29=F_30=Me_31=CF3.xyz,62.6607
Hf-π-29=F_30=Me_31=Cl.xyz,61.2240
Hf-π-29=F_30=Me_31=Et.xyz,61.0971
Hf-π-29=F_30=Me_31=F.xyz,59.8415
Hf-π-29=F_30=Me_31=Me.xyz,61.1798
Hf-π-29=F_30=Me_31=NCH3_2.xyz,60.4495
Hf-π-29=F_30=Me_31=NO2.xyz,60.8350
Hf-π-29=F_30=Me_31=OMe.xyz,59.6307
Hf-π-29=F_30=Me_31=Ph.xyz,60.1624
Hf-π-29=F_30=NCH3_2_31=CF3.xyz,60.8892
Hf-π-29=F_30=NCH3_2_31=Cl.xyz,60.2352
Hf-π-29=F_30=NCH3_2_31=Et.xyz,61.0697
Hf-π-29=F_30=NCH3_2_31=F.xyz,60.5001
Hf-π-29=F_30=NCH3_2_31=Me.xyz,60.4669
Hf-π-29=F_30=NCH3_2_31=NCH3_2.xyz,61.1693
Hf-π-29=F_30=NCH3_2_31=NO2.xyz,59.7448
Hf-π-29=F_30=NCH3_2_31=OMe.xyz,60.5555
Hf-π-29=F_30=NCH3_2_31=Ph.xyz,61.4075
Hf-π-29=F_30=NO2_31=CF3.xyz,61.2962
Hf-π-29=F_30=NO2_31=Cl.xyz,59.9702
Hf-π-29=F_30=NO2_31=Et.xyz,59.9894
Hf-π-29=F_30=NO2_31=F.xyz,59.4367
Hf-π-29=F_30=NO2_31=Me.xyz,60.3237
Hf-π-29=F_30=NO2_31=NCH3_2.xyz,60.8135
Hf-π-29=F_30=NO2_31=NO2.xyz,59.1356
Hf-π-29=F_30=NO2_31=OMe.xyz,61.4214
Hf-π-29=F_30=NO2_31=Ph.xyz,60.0995
Hf-π-29=F_30=OMe_31=CF3.xyz,62.0027
Hf-π-29=F_30=OMe_31=Cl.xyz,61.3952
Hf-π-29=F_30=OMe_31=Et.xyz,62.5210
Hf-π-29=F_30=OMe_31=F.xyz,59.6534
Hf-π-29=F_30=OMe_31=Me.xyz,61.0511
Hf-π-29=F_30=OMe_31=NCH3_2.xyz,61.4715
Hf-π-29=F_30=OMe_31=NO2.xyz,60.6655
Hf-π-29=F_30=OMe_31=OMe.xyz,60.9713
Hf-π-29=F_30=OMe_31=Ph.xyz,61.4418
Hf-π-29=F_30=Ph_31=CF3.xyz,62.3794
Hf-π-29=F_30=Ph_31=Cl.xyz,61.4028
Hf-π-29=F_30=Ph_31=Et.xyz,61.3574
Hf-π-29=F_30=Ph_31=F.xyz,59.9382
Hf-π-29=F_30=Ph_31=Me.xyz,61.1402
Hf-π-29=F_30=Ph_31=NCH3_2.xyz,62.0219
Hf-π-29=F_30=Ph_31=NO2.xyz,59.0262
Hf-π-29=F_30=Ph_31=OMe.xyz,59.9317
Hf-π-29=F_30=Ph_31=Ph.xyz,61.9124
Hf-π-29=Me_30=CF3_31=CF3.xyz,63.3998
Hf-π-29=Me_30=CF3_31=Cl.xyz,63.5174
Hf-π-29=Me_30=CF3_31=Et.xyz,63.4405
Hf-π-29=Me_30=CF3_31=F.xyz,62.9537
Hf-π-29=Me_30=CF3_31=Me.xyz,63.1930
Hf-π-29=Me_30=CF3_31=NCH3_2.xyz,62.9915
Hf-π-29=Me_30=CF3_31=NO2.xyz,63.4056
Hf-π-29=Me_30=CF3_31=OMe.xyz,63.1843
Hf-π-29=Me_30=CF3_31=Ph.xyz,63.4446
Hf-π-29=Me_30=Cl_31=CF3.xyz,61.5560
Hf-π-29=Me_30=Cl_31=Cl.xyz,62.4249
Hf-π-29=Me_30=Cl_31=Et.xyz,61.5018
Hf-π-29=Me_30=Cl_31=F.xyz,60.3551
Hf-π-29=Me_30=Cl_31=Me.xyz,62.2228
Hf-π-29=Me_30=Cl_31=NCH3_2.xyz,61.7749
Hf-π-29=Me_30=Cl_31=NO2.xyz,60.4186
Hf-π-29=Me_30=Cl_31=OMe.xyz,60.5001
Hf-π-29=Me_30=Cl_31=Ph.xyz,61.1873
Hf-π-29=Me_30=Et_31=CF3.xyz,61.3865
Hf-π-29=Me_30=Et_31=Cl.xyz,62.9496
Hf-π-29=Me_30=Et_31=Et.xyz,62.9321
Hf-π-29=Me_30=Et_31=F.xyz,61.6957
Hf-π-29=Me_30=Et_31=Me.xyz,62.8873
Hf-π-29=Me_30=Et_31=NCH3_2.xyz,62.0300
Hf-π-29=Me_30=Et_31=NO2.xyz,62.7364
Hf-π-29=Me_30=Et_31=OMe.xyz,61.1902
Hf-π-29=Me_30=Et_31=Ph.xyz,61.6177
Hf-π-29=Me_30=F_31=CF3.xyz,64.3164
Hf-π-29=Me_30=F_31=Cl.xyz,63.1924
Hf-π-29=Me_30=F_31=Et.xyz,63.4953
Hf-π-29=Me_30=F_31=F.xyz,62.1890
Hf-π-29=Me_30=F_31=Me.xyz,62.4389
Hf-π-29=Me_30=F_31=NCH3_2.xyz,63.6205
Hf-π-29=Me_30=F_31=NO2.xyz,61.6800
Hf-π-29=Me_30=F_31=OMe.xyz,62.7626
Hf-π-29=Me_30=F_31=Ph.xyz,63.2786
Hf-π-29=Me_30=Me_31=CF3.xyz,63.9617
Hf-π-29=Me_30=Me_31=Cl.xyz,63.1843
Hf-π-29=Me_30=Me_31=Et.xyz,64.1306
Hf-π-29=Me_30=Me_31=F.xyz,62.2700
Hf-π-29=Me_30=Me_31=Me.xyz,62.9950
Hf-π-29=Me_30=Me_31=NCH3_2.xyz,61.8390
Hf-π-29=Me_30=Me_31=NO2.xyz,60.3586
Hf-π-29=Me_30=Me_31=OMe.xyz,62.5501
Hf-π-29=Me_30=Me_31=Ph.xyz,61.3912
Hf-π-29=Me_30=NCH3_2_31=CF3.xyz,61.5333
Hf-π-29=Me_30=NCH3_2_31=Cl.xyz,60.7861
Hf-π-29=Me_30=NCH3_2_31=Et.xyz,61.2182
Hf-π-29=Me_30=NCH3_2_31=F.xyz,61.2339
Hf-π-29=Me_30=NCH3_2_31=Me.xyz,60.7686
Hf-π-29=Me_30=NCH3_2_31=NCH3_2.xyz,62.1867
Hf-π-29=Me_30=NCH3_2_31=NO2.xyz,60.8927
Hf-π-29=Me_30=NCH3_2_31=OMe.xyz,60.5211
Hf-π-29=Me_30=NCH3_2_31=Ph.xyz,60.8874
Hf-π-29=Me_30=NO2_31=CF3.xyz,62.8646
Hf-π-29=Me_30=NO2_31=Cl.xyz,61.9939
Hf-π-29=Me_30=NO2_31=Et.xyz,62.1715
Hf-π-29=Me_30=NO2_31=F.xyz,61.3912
Hf-π-29=Me_30=NO2_31=Me.xyz,62.2344
Hf-π-29=Me_30=NO2_31=NCH3_2.xyz,62.5646
Hf-π-29=Me_30=NO2_31=NO2.xyz,60.7139
Hf-π-29=Me_30=NO2_31=OMe.xyz,60.0884
Hf-π-29=Me_30=NO2_31=Ph.xyz,61.8035
Hf-π-29=Me_30=OMe_31=CF3.xyz,64.0840
Hf-π-29=Me_30=OMe_31=Cl.xyz,63.4033
Hf-π-29=Me_30=OMe_31=Et.xyz,63.9082
Hf-π-29=Me_30=OMe_31=F.xyz,62.5600
Hf-π-29=Me_30=OMe_31=Me.xyz,63.7597
Hf-π-29=Me_30=OMe_31=NCH3_2.xyz,63.3281
Hf-π-29=Me_30=OMe_31=NO2.xyz,62.8075
Hf-π-29=Me_30=OMe_31=OMe.xyz,62.8948
Hf-π-29=Me_30=OMe_31=Ph.xyz,63.3101
Hf-π-29=Me_30=Ph_31=CF3.xyz,64.1772
Hf-π-29=Me_30=Ph_31=Cl.xyz,62.9065
Hf-π-29=Me_30=Ph_31=Et.xyz,62.6765
Hf-π-29=Me_30=Ph_31=F.xyz,60.3580
Hf-π-29=Me_30=Ph_31=Me.xyz,62.6986
Hf-π-29=Me_30=Ph_31=NCH3_2.xyz,63.0311
Hf-π-29=Me_30=Ph_31=NO2.xyz,63.1057
