filename,atom1_sasa,sasa_area,sasa_volume
Hf-¦Ð-29=CF3_30=CF3_31=CF3.xyz,6.550153043277127,479.95681363900366,849.1724333310698
Hf-¦Ð-29=CF3_30=CF3_31=Cl.xyz,8.410196502894738,462.1984852596193,810.4280295503768
Hf-¦Ð-29=CF3_30=CF3_31=Et.xyz,5.380125705775707,483.17877537511487,853.3288114624394
Hf-¦Ð-29=CF3_30=CF3_31=F.xyz,8.800205615395218,451.8579987497183,787.9258953567308
Hf-¦Ð-29=CF3_30=CF3_31=Me.xyz,7.9401855211634125,463.7587371882112,813.174467834754
Hf-¦Ð-29=CF3_30=CF3_31=NCH3_2.xyz,5.970139491353341,495.8588740210495,882.0842987668567
Hf-¦Ð-29=CF3_30=CF3_31=NO2.xyz,8.16019066154829,469.8060995550613,829.2241950244143
Hf-¦Ð-29=CF3_30=CF3_31=OMe.xyz,8.310194166356167,481.3984172475527,842.3896204412221
Hf-¦Ð-29=CF3_30=CF3_31=Ph.xyz,7.8501834182786885,530.2697823638746,949.7733597152853
Hf-¦Ð-29=CF3_30=Cl_31=CF3.xyz,6.760157950008145,460.82856837988754,808.6776484973432
Hf-¦Ð-29=CF3_30=Cl_31=Cl.xyz,8.310194166356167,443.6201822536911,771.524268786208
Hf-¦Ð-29=CF3_30=Cl_31=Et.xyz,7.63017827789381,462.48037451182523,811.4071635045661
Hf-¦Ð-29=CF3_30=Cl_31=F.xyz,8.6602023442412,435.36966739707145,750.358972570498
Hf-¦Ð-29=CF3_30=Cl_31=Me.xyz,8.040187857701996,444.69042186345905,774.6284484122408
Hf-¦Ð-29=CF3_30=Cl_31=NCH3_2.xyz,6.130143229815079,478.1504241324349,844.8070009485244
Hf-¦Ð-29=CF3_30=Cl_31=NO2.xyz,8.310194166356167,453.12763615985295,792.3323060192915
Hf-¦Ð-29=CF3_30=Cl_31=OMe.xyz,7.990186689432704,462.3199834452043,802.9531918147591
Hf-¦Ð-29=CF3_30=Cl_31=Ph.xyz,7.990186689432704,509.211284788332,908.3512427926012
Hf-¦Ð-29=CF3_30=Et_31=CF3.xyz,8.15019042789443,480.5788677607326,849.7312195697892
Hf-¦Ð-29=CF3_30=Et_31=Cl.xyz,8.510198839433324,468.4303308234694,818.1428347156661
Hf-¦Ð-29=CF3_30=Et_31=Et.xyz,7.520175707701364,492.49040491275105,864.2455493688834
Hf-¦Ð-29=CF3_30=Et_31=F.xyz,8.85020678366451,458.93990227734787,797.0328573076372
Hf-¦Ð-29=CF3_30=Et_31=Me.xyz,7.8501834182786885,471.0505584726047,821.9543223583867
Hf-¦Ð-29=CF3_30=Et_31=NCH3_2.xyz,6.46015094039239,504.9605945000774,893.4436379700753
Hf-¦Ð-29=CF3_30=Et_31=NO2.xyz,8.520199073087184,474.9179136715337,835.4185113415681
Hf-¦Ð-29=CF3_30=Et_31=OMe.xyz,8.470197904817892,488.1503090199443,850.331935976499
Hf-¦Ð-29=CF3_30=Et_31=Ph.xyz,7.69017967981695,523.9813451827865,945.0707451775111
Hf-¦Ð-29=CF3_30=F_31=CF3.xyz,7.020164025008454,452.94794250446375,789.3874315674835
Hf-¦Ð-29=CF3_30=F_31=Cl.xyz,8.640201876933478,436.37959983672454,753.2270507286869
Hf-¦Ð-29=CF3_30=F_31=Et.xyz,8.060188325009706,453.04989840186414,789.9912050642461
Hf-¦Ð-29=CF3_30=F_31=F.xyz,8.740204213472063,426.6890757523357,731.3485414801197
Hf-¦Ð-29=CF3_30=F_31=Me.xyz,8.15019042789443,438.0598537274377,756.1001928795895
Hf-¦Ð-29=CF3_30=F_31=NCH3_2.xyz,6.260146267315234,469.65995979879875,823.8309057007727
Hf-¦Ð-29=CF3_30=F_31=NO2.xyz,8.640201876933478,444.6370909517342,772.6799960284908
Hf-¦Ð-29=CF3_30=F_31=OMe.xyz,7.990186689432704,457.20931589144664,789.9971877106373
Hf-¦Ð-29=CF3_30=F_31=Ph.xyz,8.300193932702307,504.8708866454301,891.2071662095245
Hf-¦Ð-29=CF3_30=Me_31=CF3.xyz,6.690156314431129,464.05868570107623,813.8080168388328
Hf-¦Ð-29=CF3_30=Me_31=Cl.xyz,8.580200475010338,446.3103671710987,776.3703640344067
Hf-¦Ð-29=CF3_30=Me_31=Et.xyz,7.680179446163103,464.9905297427238,816.3564834919581
Hf-¦Ð-29=CF3_30=Me_31=F.xyz,8.750204447125924,438.1098715961705,756.1252402831909
Hf-¦Ð-29=CF3_30=Me_31=Me.xyz,8.000186923086567,448.60056978974006,779.7162266423329
Hf-¦Ð-29=CF3_30=Me_31=NCH3_2.xyz,6.46015094039239,478.45068089710725,845.5404548091075
Hf-¦Ð-29=CF3_30=Me_31=NO2.xyz,8.540199540394907,453.9779421864807,794.6388303032065
Hf-¦Ð-29=CF3_30=Me_31=OMe.xyz,8.330194633663876,466.9702712300668,809.4055058357113
Hf-¦Ð-29=CF3_30=Me_31=Ph.xyz,7.900184586547981,516.251538083146,917.1118093319061
Hf-¦Ð-29=CF3_30=NCH3_2_31=CF3.xyz,8.040187857701996,493.2989388089901,879.1248761372215
Hf-¦Ð-29=CF3_30=NCH3_2_31=Cl.xyz,8.230192297125292,477.2504615238598,843.8902967288062
Hf-¦Ð-29=CF3_30=NCH3_2_31=Et.xyz,7.500175240393656,493.67048665003483,880.9780196942202
Hf-¦Ð-29=CF3_30=NCH3_2_31=F.xyz,8.36019533462546,470.76999580596555,826.7023757852229
Hf-¦Ð-29=CF3_30=NCH3_2_31=Me.xyz,7.820182717317105,480.5406351540847,848.6274810876373
