Filename,R1,R2,R3
Hf_TS_11=OMe_29=NO2_24=NO2.xyz,OMe,NO2,NO2
Hf_TS_11=OMe_29=NO2_24=OMe.xyz,OMe,NO2,OMe
Hf_TS_11=OMe_29=NO2_24=Ph.xyz,OMe,NO2,Ph
Hf_TS_11=OMe_29=OMe_24=CF3.xyz,OMe,OMe,CF3
Hf_TS_11=OMe_29=OMe_24=Cl.xyz,OMe,OMe,Cl
Hf_TS_11=OMe_29=OMe_24=Et.xyz,OMe,OMe,Et
Hf_TS_11=OMe_29=OMe_24=F.xyz,OMe,OMe,F
Hf_TS_11=OMe_29=OMe_24=Me.xyz,OMe,OMe,Me
Hf_TS_11=OMe_29=OMe_24=NCH3_2.xyz,OMe,OMe,NCH3_2
Hf_TS_11=OMe_29=OMe_24=NO2.xyz,OMe,OMe,NO2
Hf_TS_11=OMe_29=OMe_24=OMe.xyz,OMe,OMe,OMe
Hf_TS_11=OMe_29=OMe_24=Ph.xyz,OMe,OMe,Ph
Hf_TS_11=OMe_29=Ph_24=CF3.xyz,OMe,Ph,CF3
Hf_TS_11=OMe_29=Ph_24=Cl.xyz,OMe,Ph,Cl
Hf_TS_11=OMe_29=Ph_24=Et.xyz,OMe,Ph,Et
Hf_TS_11=OMe_29=Ph_24=F.xyz,OMe,Ph,F
Hf_TS_11=OMe_29=Ph_24=Me.xyz,OMe,Ph,Me
Hf_TS_11=OMe_29=Ph_24=NCH3_2.xyz,OMe,Ph,NCH3_2
Hf_TS_11=OMe_29=Ph_24=NO2.xyz,OMe,Ph,NO2
Hf_TS_11=OMe_29=Ph_24=OMe.xyz,OMe,Ph,OMe
Hf_TS_11=OMe_29=Ph_24=Ph.xyz,OMe,Ph,Ph
Hf_TS_11=Ph_29=CF3_24=CF3.xyz,Ph,CF3,CF3
Hf_TS_11=Ph_29=CF3_24=Cl.xyz,Ph,CF3,Cl
Hf_TS_11=Ph_29=CF3_24=Et.xyz,Ph,CF3,Et
Hf_TS_11=Ph_29=CF3_24=F.xyz,Ph,CF3,F
Hf_TS_11=Ph_29=CF3_24=Me.xyz,Ph,CF3,Me
Hf_TS_11=Ph_29=CF3_24=NCH3_2.xyz,Ph,CF3,NCH3_2
Hf_TS_11=Ph_29=CF3_24=NO2.xyz,Ph,CF3,NO2
Hf_TS_11=Ph_29=CF3_24=OMe.xyz,Ph,CF3,OMe
Hf_TS_11=Ph_29=CF3_24=Ph.xyz,Ph,CF3,Ph
Hf_TS_11=Ph_29=Cl_24=CF3.xyz,Ph,Cl,CF3
Hf_TS_11=Ph_29=Cl_24=Cl.xyz,Ph,Cl,Cl
Hf_TS_11=Ph_29=Cl_24=Et.xyz,Ph,Cl,Et
Hf_TS_11=Ph_29=Cl_24=F.xyz,Ph,Cl,F
Hf_TS_11=Ph_29=Cl_24=Me.xyz,Ph,Cl,Me
Hf_TS_11=Ph_29=Cl_24=NCH3_2.xyz,Ph,Cl,NCH3_2
Hf_TS_11=Ph_29=Cl_24=NO2.xyz,Ph,Cl,NO2
Hf_TS_11=Ph_29=Cl_24=OMe.xyz,Ph,Cl,OMe
Hf_TS_11=Ph_29=Cl_24=Ph.xyz,Ph,Cl,Ph
Hf_TS_11=Ph_29=Et_24=CF3.xyz,Ph,Et,CF3
Hf_TS_11=Ph_29=Et_24=Cl.xyz,Ph,Et,Cl
Hf_TS_11=Ph_29=Et_24=Et.xyz,Ph,Et,Et
Hf_TS_11=Ph_29=Et_24=F.xyz,Ph,Et,F
Hf_TS_11=Ph_29=Et_24=Me.xyz,Ph,Et,Me
Hf_TS_11=Ph_29=Et_24=NCH3_2.xyz,Ph,Et,NCH3_2
Hf_TS_11=Ph_29=Et_24=NO2.xyz,Ph,Et,NO2
Hf_TS_11=Ph_29=Et_24=OMe.xyz,Ph,Et,OMe
Hf_TS_11=Ph_29=Et_24=Ph.xyz,Ph,Et,Ph
Hf_TS_11=Ph_29=F_24=CF3.xyz,Ph,F,CF3
Hf_TS_11=Ph_29=F_24=Cl.xyz,Ph,F,Cl
Hf_TS_11=Ph_29=F_24=Et.xyz,Ph,F,Et
Hf_TS_11=Ph_29=F_24=F.xyz,Ph,F,F
Hf_TS_11=Ph_29=F_24=Me.xyz,Ph,F,Me
Hf_TS_11=Ph_29=F_24=NCH3_2.xyz,Ph,F,NCH3_2
Hf_TS_11=Ph_29=F_24=NO2.xyz,Ph,F,NO2
Hf_TS_11=Ph_29=F_24=OMe.xyz,Ph,F,OMe
Hf_TS_11=Ph_29=F_24=Ph.xyz,Ph,F,Ph
Hf_TS_11=Ph_29=Me_24=CF3.xyz,Ph,Me,CF3
Hf_TS_11=Ph_29=Me_24=Cl.xyz,Ph,Me,Cl
Hf_TS_11=Ph_29=Me_24=Et.xyz,Ph,Me,Et
Hf_TS_11=Ph_29=Me_24=F.xyz,Ph,Me,F
Hf_TS_11=Ph_29=Me_24=Me.xyz,Ph,Me,Me
Hf_TS_11=Ph_29=Me_24=NCH3_2.xyz,Ph,Me,NCH3_2
Hf_TS_11=Ph_29=Me_24=NO2.xyz,Ph,Me,NO2
Hf_TS_11=Ph_29=Me_24=OMe.xyz,Ph,Me,OMe
Hf_TS_11=Ph_29=Me_24=Ph.xyz,Ph,Me,Ph
Hf_TS_11=Ph_29=NCH3_2_24=CF3.xyz,Ph,NCH3_2,CF3
Hf_TS_11=Ph_29=NCH3_2_24=Cl.xyz,Ph,NCH3_2,Cl
Hf_TS_11=Ph_29=NCH3_2_24=Et.xyz,Ph,NCH3_2,Et
Hf_TS_11=Ph_29=NCH3_2_24=F.xyz,Ph,NCH3_2,F
Hf_TS_11=Ph_29=NCH3_2_24=Me.xyz,Ph,NCH3_2,Me
Hf_TS_11=Ph_29=NCH3_2_24=NCH3_2.xyz,Ph,NCH3_2,NCH3_2
Hf_TS_11=Ph_29=NCH3_2_24=NO2.xyz,Ph,NCH3_2,NO2
Hf_TS_11=Ph_29=NCH3_2_24=OMe.xyz,Ph,NCH3_2,OMe
Hf_TS_11=Ph_29=NCH3_2_24=Ph.xyz,Ph,NCH3_2,Ph
Hf_TS_11=Ph_29=NO2_24=CF3.xyz,Ph,NO2,CF3
Hf_TS_11=Ph_29=NO2_24=Cl.xyz,Ph,NO2,Cl
Hf_TS_11=Ph_29=NO2_24=Et.xyz,Ph,NO2,Et
Hf_TS_11=Ph_29=NO2_24=F.xyz,Ph,NO2,F
Hf_TS_11=Ph_29=NO2_24=Me.xyz,Ph,NO2,Me
Hf_TS_11=Ph_29=NO2_24=NCH3_2.xyz,Ph,NO2,NCH3_2
Hf_TS_11=Ph_29=NO2_24=NO2.xyz,Ph,NO2,NO2
Hf_TS_11=Ph_29=NO2_24=OMe.xyz,Ph,NO2,OMe
Hf_TS_11=Ph_29=NO2_24=Ph.xyz,Ph,NO2,Ph
Hf_TS_11=Ph_29=OMe_24=CF3.xyz,Ph,OMe,CF3
Hf_TS_11=Ph_29=OMe_24=Cl.xyz,Ph,OMe,Cl
Hf_TS_11=Ph_29=OMe_24=Et.xyz,Ph,OMe,Et
Hf_TS_11=Ph_29=OMe_24=F.xyz,Ph,OMe,F
Hf_TS_11=Ph_29=OMe_24=Me.xyz,Ph,OMe,Me
Hf_TS_11=Ph_29=OMe_24=NCH3_2.xyz,Ph,OMe,NCH3_2
Hf_TS_11=Ph_29=OMe_24=NO2.xyz,Ph,OMe,NO2
Hf_TS_11=Ph_29=OMe_24=OMe.xyz,Ph,OMe,OMe
Hf_TS_11=Ph_29=OMe_24=Ph.xyz,Ph,OMe,Ph
Hf_TS_11=Ph_29=Ph_24=CF3.xyz,Ph,Ph,CF3
Hf_TS_11=Ph_29=Ph_24=Cl.xyz,Ph,Ph,Cl
Hf_TS_11=Ph_29=Ph_24=Et.xyz,Ph,Ph,Et
Hf_TS_11=Ph_29=Ph_24=F.xyz,Ph,Ph,F
Hf_TS_11=Ph_29=Ph_24=Me.xyz,Ph,Ph,Me
Hf_TS_11=Ph_29=Ph_24=NCH3_2.xyz,Ph,Ph,NCH3_2
Hf_TS_11=Ph_29=Ph_24=NO2.xyz,Ph,Ph,NO2
Hf_TS_11=Ph_29=Ph_24=OMe.xyz,Ph,Ph,OMe
Hf_TS_11=Ph_29=Ph_24=Ph.xyz,Ph,Ph,Ph
